ensembl_gene_id	entrezgene_id	hgnc_symbol
655	ENSG00000115946	56902	PNO1
656	ENSG00000115947	5000	ORC4
657	ENSG00000115956	5341	PLEK
658	ENSG00000115966	1386	ATF2
659	ENSG00000115970	63892	THADA
660	ENSG00000115977	22848	AAK1
661	ENSG00000115993	66008	TRAK2
662	ENSG00000115998	54980	C2orf42
663	ENSG00000116001	7072	TIA1
664	ENSG00000116005	51449	PCYOX1
665	ENSG00000116016	2034	EPAS1
666	ENSG00000116030	7341	SUMO1
667	ENSG00000116044	4780	NFE2L2
668	ENSG00000116062	2956	MSH6
669	ENSG00000116095	65977	PLEKHA3
670	ENSG00000116096	6697	SPR
671	ENSG00000116106	2043	EPHA4
672	ENSG00000116120	10056	FARSB
673	ENSG00000116127	7840	ALMS1
674	ENSG00000116128	607	BCL9
675	ENSG00000116132	5396	PRRX1
676	ENSG00000116133	1718	DHCR24
677	ENSG00000116138	23341	DNAJC16
678	ENSG00000116151	79906	MORN1
679	ENSG00000116157	2882	GPX7
680	ENSG00000116161	27101	CACYBP
681	ENSG00000116171	6342	SCP2
682	ENSG00000116191	55103	RALGPS2
683	ENSG00000116198	9731	CEP104
684	ENSG00000116199	9917	FAM20B
685	ENSG00000116205	127428	TCEANC2
686	ENSG00000116209	9528	TMEM59
687	ENSG00000116212	115353	LRRC42
688	ENSG00000116213	49856	WRAP73
689	ENSG00000116221	51253	MRPL37
690	ENSG00000116237	23463	ICMT
691	ENSG00000116251	6146	RPL22
692	ENSG00000116260	5768	QSOX1
693	ENSG00000116266	6814	STXBP3
694	ENSG00000116273	148479	PHF13
695	ENSG00000116285	54206	ERRFI1
696	ENSG00000116288	11315	PARK7
697	ENSG00000116299	57535	ELAPOR1
698	ENSG00000116337	271	AMPD2
699	ENSG00000116350	6429	SRSF4
700	ENSG00000116353	51102	MECR
701	ENSG00000116396	3749	KCNC4
